"","quadrat","Group"
"1","0101",2
"2","0102",3
"3","0103",2
"4","0104",NA
"5","0105",NA
"6","0106",2
"7","0107",2
"8","0108",3
"9","0109",2
"10","0110",2
"11","0111",2
"12","0112",3
"13","0113",2
"14","0114",2
"15","0115",2
"16","0116",2
"17","0117",2
"18","0118",2
"19","0119",2
"20","0120",2
"21","0121",2
"22","0122",NA
"23","0123",NA
"24","0124",NA
"25","0125",NA
"26","0126",NA
"27","0127",NA
"28","0128",NA
"29","0129",NA
"30","0130",2
"31","0131",2
"32","0132",2
"33","0201",3
"34","0202",3
"35","0203",NA
"36","0204",NA
"37","0205",NA
"38","0206",NA
"39","0207",NA
"40","0208",3
"41","0209",2
"42","0210",2
"43","0211",3
"44","0212",2
"45","0213",2
"46","0214",2
"47","0215",2
"48","0216",2
"49","0217",2
"50","0218",2
"51","0219",2
"52","0220",NA
"53","0221",NA
"54","0222",NA
"55","0223",2
"56","0224",2
"57","0225",2
"58","0226",2
"59","0227",2
"60","0228",2
"61","0229",2
"62","0230",2
"63","0231",2
"64","0232",2
"65","0301",NA
"66","0302",NA
"67","0303",NA
"68","0304",1
"69","0305",2
"70","0306",2
"71","0307",NA
"72","0308",NA
"73","0309",NA
"74","0310",NA
"75","0311",2
"76","0312",3
"77","0313",2
"78","0314",2
"79","0315",2
"80","0316",2
"81","0317",NA
"82","0318",NA
"83","0319",NA
"84","0320",NA
"85","0321",NA
"86","0322",2
"87","0323",2
"88","0324",2
"89","0325",2
"90","0326",2
"91","0327",2
"92","0328",2
"93","0329",2
"94","0330",2
"95","0331",2
"96","0332",2
"97","0401",NA
"98","0402",2
"99","0403",2
"100","0404",1
"101","0405",1
"102","0406",1
"103","0407",2
"104","0408",2
"105","0409",2
"106","0410",NA
"107","0411",NA
"108","0412",NA
"109","0413",NA
"110","0414",NA
"111","0415",NA
"112","0416",NA
"113","0417",NA
"114","0418",NA
"115","0419",NA
"116","0420",NA
"117","0421",2
"118","0422",2
"119","0423",2
"120","0424",2
"121","0425",2
"122","0426",2
"123","0427",2
"124","0428",2
"125","0429",2
"126","0430",2
"127","0431",2
"128","0432",2
"129","0501",NA
"130","0502",3
"131","0503",1
"132","0504",1
"133","0505",1
"134","0506",1
"135","0507",1
"136","0508",2
"137","0509",2
"138","0510",2
"139","0511",2
"140","0512",2
"141","0513",NA
"142","0514",NA
"143","0515",NA
"144","0516",NA
"145","0517",NA
"146","0518",2
"147","0519",2
"148","0520",2
"149","0521",2
"150","0522",2
"151","0523",2
"152","0524",2
"153","0525",2
"154","0526",2
"155","0527",2
"156","0528",2
"157","0529",2
"158","0530",2
"159","0531",2
"160","0532",2
"161","0601",NA
"162","0602",2
"163","0603",1
"164","0604",1
"165","0605",1
"166","0606",1
"167","0607",1
"168","0608",1
"169","0609",1
"170","0610",1
"171","0611",2
"172","0612",2
"173","0613",2
"174","0614",3
"175","0615",NA
"176","0616",NA
"177","0617",2
"178","0618",2
"179","0619",2
"180","0620",2
"181","0621",2
"182","0622",2
"183","0623",2
"184","0624",2
"185","0625",2
"186","0626",2
"187","0627",2
"188","0628",2
"189","0629",2
"190","0630",2
"191","0631",2
"192","0632",2
"193","0701",NA
"194","0702",2
"195","0703",1
"196","0704",1
"197","0705",1
"198","0706",1
"199","0707",1
"200","0708",1
"201","0709",1
"202","0710",1
"203","0711",1
"204","0712",1
"205","0713",2
"206","0714",2
"207","0715",NA
"208","0716",NA
"209","0717",2
"210","0718",2
"211","0719",2
"212","0720",2
"213","0721",2
"214","0722",2
"215","0723",2
"216","0724",2
"217","0725",2
"218","0726",2
"219","0727",2
"220","0728",2
"221","0729",2
"222","0730",2
"223","0731",2
"224","0732",2
"225","0801",NA
"226","0802",1
"227","0803",1
"228","0804",1
"229","0805",1
"230","0806",1
"231","0807",1
"232","0808",1
"233","0809",1
"234","0810",1
"235","0811",1
"236","0812",1
"237","0813",1
"238","0814",2
"239","0815",2
"240","0816",NA
"241","0817",2
"242","0818",2
"243","0819",2
"244","0820",2
"245","0821",2
"246","0822",2
"247","0823",2
"248","0824",2
"249","0825",2
"250","0826",2
"251","0827",2
"252","0828",2
"253","0829",2
"254","0830",2
"255","0831",2
"256","0832",2
"257","0901",NA
"258","0902",1
"259","0903",1
"260","0904",1
"261","0905",1
"262","0906",1
"263","0907",1
"264","0908",1
"265","0909",1
"266","0910",1
"267","0911",1
"268","0912",1
"269","0913",1
"270","0914",2
"271","0915",2
"272","0916",NA
"273","0917",2
"274","0918",2
"275","0919",2
"276","0920",2
"277","0921",2
"278","0922",2
"279","0923",2
"280","0924",2
"281","0925",2
"282","0926",2
"283","0927",2
"284","0928",2
"285","0929",2
"286","0930",2
"287","0931",2
"288","0932",2
"289","1001",3
"290","1002",1
"291","1003",1
"292","1004",1
"293","1005",1
"294","1006",1
"295","1007",1
"296","1008",1
"297","1009",1
"298","1010",1
"299","1011",1
"300","1012",1
"301","1013",2
"302","1014",2
"303","1015",2
"304","1016",NA
"305","1017",NA
"306","1018",2
"307","1019",2
"308","1020",2
"309","1021",2
"310","1022",2
"311","1023",2
"312","1024",2
"313","1025",2
"314","1026",2
"315","1027",2
"316","1028",2
"317","1029",2
"318","1030",2
"319","1031",2
"320","1032",2
"321","1101",NA
"322","1102",1
"323","1103",1
"324","1104",1
"325","1105",1
"326","1106",1
"327","1107",1
"328","1108",1
"329","1109",1
"330","1110",1
"331","1111",1
"332","1112",1
"333","1113",2
"334","1114",2
"335","1115",2
"336","1116",NA
"337","1117",NA
"338","1118",2
"339","1119",2
"340","1120",2
"341","1121",2
"342","1122",2
"343","1123",2
"344","1124",2
"345","1125",2
"346","1126",2
"347","1127",2
"348","1128",2
"349","1129",2
"350","1130",2
"351","1131",2
"352","1132",2
"353","1201",NA
"354","1202",1
"355","1203",1
"356","1204",1
"357","1205",1
"358","1206",1
"359","1207",1
"360","1208",1
"361","1209",1
"362","1210",1
"363","1211",1
"364","1212",2
"365","1213",2
"366","1214",2
"367","1215",2
"368","1216",NA
"369","1217",NA
"370","1218",2
"371","1219",2
"372","1220",2
"373","1221",2
"374","1222",2
"375","1223",2
"376","1224",2
"377","1225",2
"378","1226",2
"379","1227",2
"380","1228",2
"381","1229",2
"382","1230",2
"383","1231",2
"384","1232",2
"385","1301",NA
"386","1302",2
"387","1303",2
"388","1304",1
"389","1305",1
"390","1306",1
"391","1307",1
"392","1308",1
"393","1309",1
"394","1310",1
"395","1311",1
"396","1312",2
"397","1313",2
"398","1314",2
"399","1315",3
"400","1316",NA
"401","1317",NA
"402","1318",NA
"403","1319",2
"404","1320",2
"405","1321",2
"406","1322",2
"407","1323",2
"408","1324",2
"409","1325",2
"410","1326",2
"411","1327",2
"412","1328",2
"413","1329",2
"414","1330",2
"415","1331",2
"416","1332",2
"417","1401",2
"418","1402",2
"419","1403",2
"420","1404",2
"421","1405",2
"422","1406",1
"423","1407",1
"424","1408",1
"425","1409",1
"426","1410",1
"427","1411",2
"428","1412",2
"429","1413",2
"430","1414",3
"431","1415",3
"432","1416",NA
"433","1417",2
"434","1418",NA
"435","1419",NA
"436","1420",2
"437","1421",2
"438","1422",2
"439","1423",2
"440","1424",2
"441","1425",2
"442","1426",2
"443","1427",2
"444","1428",2
"445","1429",2
"446","1430",2
"447","1431",2
"448","1432",2
"449","1501",2
"450","1502",2
"451","1503",2
"452","1504",2
"453","1505",2
"454","1506",2
"455","1507",2
"456","1508",1
"457","1509",1
"458","1510",1
"459","1511",2
"460","1512",2
"461","1513",2
"462","1514",NA
"463","1515",3
"464","1516",2
"465","1517",2
"466","1518",2
"467","1519",NA
"468","1520",NA
"469","1521",3
"470","1522",2
"471","1523",2
"472","1524",2
"473","1525",2
"474","1526",2
"475","1527",2
"476","1528",2
"477","1529",2
"478","1530",2
"479","1531",2
"480","1532",2
"481","1601",3
"482","1602",2
"483","1603",2
"484","1604",2
"485","1605",2
"486","1606",2
"487","1607",2
"488","1608",2
"489","1609",2
"490","1610",2
"491","1611",2
"492","1612",2
"493","1613",3
"494","1614",3
"495","1615",3
"496","1616",2
"497","1617",2
"498","1618",2
"499","1619",2
"500","1620",3
"501","1621",2
"502","1622",2
"503","1623",2
"504","1624",2
"505","1625",2
"506","1626",2
"507","1627",2
"508","1628",2
"509","1629",2
"510","1630",3
"511","1631",3
"512","1632",2
"513","1701",3
"514","1702",2
"515","1703",2
"516","1704",2
"517","1705",2
"518","1706",2
"519","1707",2
"520","1708",2
"521","1709",2
"522","1710",2
"523","1711",2
"524","1712",2
"525","1713",3
"526","1714",3
"527","1715",2
"528","1716",2
"529","1717",2
"530","1718",2
"531","1719",2
"532","1720",2
"533","1721",3
"534","1722",NA
"535","1723",3
"536","1724",3
"537","1725",2
"538","1726",2
"539","1727",3
"540","1728",3
"541","1729",3
"542","1730",2
"543","1731",3
"544","1732",3
"545","1801",2
"546","1802",2
"547","1803",2
"548","1804",2
"549","1805",2
"550","1806",2
"551","1807",2
"552","1808",2
"553","1809",2
"554","1810",2
"555","1811",2
"556","1812",3
"557","1813",3
"558","1814",2
"559","1815",2
"560","1816",2
"561","1817",2
"562","1818",2
"563","1819",2
"564","1820",2
"565","1821",2
"566","1822",3
"567","1823",2
"568","1824",3
"569","1825",2
"570","1826",2
"571","1827",2
"572","1828",2
"573","1829",3
"574","1830",2
"575","1831",3
"576","1832",3
"577","1901",2
"578","1902",2
"579","1903",2
"580","1904",2
"581","1905",2
"582","1906",2
"583","1907",2
"584","1908",2
"585","1909",2
"586","1910",2
"587","1911",3
"588","1912",2
"589","1913",2
"590","1914",2
"591","1915",2
"592","1916",2
"593","1917",2
"594","1918",2
"595","1919",2
"596","1920",2
"597","1921",2
"598","1922",2
"599","1923",2
"600","1924",3
"601","1925",3
"602","1926",2
"603","1927",3
"604","1928",2
"605","1929",2
"606","1930",2
"607","1931",3
"608","1932",3
"609","2001",2
"610","2002",2
"611","2003",2
"612","2004",2
"613","2005",2
"614","2006",2
"615","2007",2
"616","2008",2
"617","2009",2
"618","2010",3
"619","2011",2
"620","2012",3
"621","2013",3
"622","2014",2
"623","2015",2
"624","2016",2
"625","2017",2
"626","2018",2
"627","2019",2
"628","2020",2
"629","2021",2
"630","2022",2
"631","2023",2
"632","2024",2
"633","2025",3
"634","2026",2
"635","2027",3
"636","2028",3
"637","2029",2
"638","2030",3
"639","2031",3
"640","2032",3
